khoanId:ID,soKhoan,noiDung,:LABEL
QD-27/2020/TT-BGDĐT-Chương_III-Điều_13-Khoan_2,2,"2. Học sinh có thành tích đặc biệt được nhà trường xem xét, đề nghị cấp trên khen thưởng.3. Cán bộ quản lý và giáo viên có thể gửi thư khen cho những học sinh có thành tích, cố gắng trong quá trình học tập, rèn luyện phẩm chất, năng lực hoặc có những việc làm tốt.",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_15-Khoan_2,2,"2. Tôn trọng quyền tự chủ của giáo viên trong việc thực hiện quy định đánh giá học sinh.3. Chỉ đạo việc ra đề kiểm tra định kỳ; xây dựng và thực hiện kế hoạch bồi dưỡng, giúp đỡ học sinh; nghiệm thu, bàn giao kết quả giáo dục học sinh; xác nhận kết quả đánh giá học sinh cuối năm học; xét lên lớp; quản lý hồ sơ đánh giá học sinh.
4. Giải trình, giải quyết thắc mắc, kiến nghị về đánh giá học sinh trong phạm vi và quyền hạn của hiệu trưởng.",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_16-Khoan_2,2,"2. Giáo viên giảng dạy môn học:a) Chịu trách nhiệm đánh giá quá trình học tập, rèn luyện và kết quả học tập của học sinh đối với môn học, hoạt động giáo dục theo quy định.
b) Phối hợp với giáo viên chủ nhiệm, giáo viên cùng lớp, cha mẹ học sinh thực hiện việc đánh giá học sinh; hoàn thành hồ sơ đánh giá học sinh; nghiệm thu kết quả giáo dục học sinh.
c) Hướng dẫn học sinh tự nhận xét và tham gia nhận xét bạn, nhóm bạn.
3. Giáo viên theo dõi sự tiến bộ của học sinh, ghi chép những lưu ý với học sinh có nội dung chưa hoàn thành hoặc có tiến bộ trong học tập và rèn luyện.",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_2,2,"2. Tích cực tự nhận xét và tham gia nhận xét bạn, nhóm bạn theo hướng dẫn của giáo viên.3. Thực hiện tốt các nhiệm vụ quy định trong Điều lệ trường tiểu học; chấp hành nội quy, quy chế của nhà trường, tích cực trong học tập và rèn luyện.

PHỤ LỤC 1.
HỌC BẠ
(Kèm theo Thông tư số 27/2020/TT-BGDĐT ngày 04 tháng 9 năm 2020 của Bộ trưởng Bộ Giáo dục và Đào tạo)

HƯỚNG DẪN GHI HỌC BẠ TIỂU HỌC

Học bạ dùng để ghi kết quả tổng hợp đánh giá cuối năm học của học sinh. Khi ghi Học bạ, giáo viên cần nghiên cứu kỹ Thông tư số 27/2020/TT-BGDĐT ngày 04 tháng 9 năm 2020 của Bộ trưởng Bộ Giáo dục và Đào tạo về việc ban hành quy định đánh giá học sinh tiểu học.",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_1,1,"1. Trang 3, thông tin ghi theo giấy khai sinh của học sinh.2. Mục ""1. Các môn học và hoạt động giáo dục""
- Trong cột ""Mức đạt được"": Ghi ký hiệu T nếu học sinh đạt mức ""Hoàn thành tốt""; H nếu học sinh đạt mức ""Hoàn thành"" hoặc C nếu học sinh ở mức ""Chưa hoàn thành"".
- Trong cột ""Điểm KTĐK"" đối với các môn học có Bài kiểm tra định kỳ: ghi điểm số của bài kiểm tra cuối năm học; đối với học sinh được kiểm tra lại, ghi điểm số của bài kiểm tra lần cuối.
- Trong cột ""Nhận xét"": Ghi những điểm nổi bật về sự tiến bộ, năng khiếu, hứng thú học tập đối với các môn học, hoạt động giáo dục của học sinh; nội dung, kỹ năng chưa hoàn thành trong từng môn học, hoạt động giáo dục cần được khắc phục, giúp đỡ (nếu có).",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_3,3,"3. Mục ""2. Những phẩm chất chủ yếu"" và mục ""3. Những năng lực cốt lõi""- Trong cột “Mức đạt được” tương ứng với từng nội dung đánh giá về phẩm chất, năng lực: ghi ký hiệu T nếu học sinh đạt mức “Tốt”, Đ nếu học sinh đạt mức “Đạt” hoặc C nếu học sinh ở mức “Cần cố gắng”.
- Trong cột “Nhận xét” tương ứng với nội dung đánh giá về phẩm chất: ghi các biểu hiện, sự tiến bộ, ưu điểm, hạn chế hoặc khuyến nghị (nếu có) về sự hình thành và phát triển một số phẩm chất chủ yếu của học sinh.
Ví dụ: Đi học đầy đủ, đúng giờ; mạnh dạn trình bày ý kiến cá nhân; biết giữ lời hứa; tôn trọng và biết giúp đỡ mọi người;...
- Trong cột ""Nhận xét"" tương ứng với nội dung đánh giá về năng lực: ghi các biểu hiện, sự tiến bộ, ưu điểm, hạn chế hoặc khuyến nghị (nếu có) về sự hình thành và phát triển một số năng lực chung, năng lực đặc thù của học sinh.
Ví dụ: Biết vệ sinh thân thể, ăn mặc gọn gàng; chủ động, phối hợp trong học tập; có khả năng tự học; ...; sử dụng ngôn ngữ lưu loát trong cuộc sống và học tập, biết tư duy, lập luận và giải quyết được một số vấn đề toán học quen thuộc;...",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_4,4,"4. Mục ""4. Đánh giá kết quả giáo dục""Ghi một trong bốn mức: “Hoàn thành xuất sắc”; “Hoàn thành tốt”; “Hoàn thành” hoặc “Chưa hoàn thành”.",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_5,5,"5. Mục ""5. Khen thưởng""Ghi những thành tích mà học sinh được khen thưởng trong năm học.
Ví dụ: Đạt danh hiệu Học sinh Xuất sắc; Đạt danh hiệu Học sinh Tiêu biểu hoàn thành tốt trong học tập và rèn luyện; Đạt giải Nhì hội giao lưu An toàn giao thông cấp huyện;...",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_6,6,"6. Mục “6. Hoàn thành chương trình lớp học/chương trình tiểu học”Ghi Hoàn thành chương trình lớp ......../chương trình tiểu học hoặc Chưa hoàn thành chương trình lớp ......./chương trình tiểu học; Được lên lớp hoặc Chưa được lên lớp.
Ví dụ:
- Hoàn thành chương trình lớp 2; Được lên lớp 3.
- Hoàn thành chương trình tiểu học.
Học bạ được nhà trường bảo quản và trả lại cho học sinh khi học sinh chuyển trường học xong chương trình tiểu học.

PHỤ LỤC 2.
BẢNG GHI TỔNG HỢP KẾT QUẢ ĐÁNH GIÁ GIÁO DỤC CỦA LỚP
(Kèm theo Thông tư số 27/2020/TT-BGDĐT ngày 04 tháng 9 năm 2020 của Bộ trưởng Bộ Giáo dục và Đào tạo)

HƯỚNG DẪN
GHI BẢNG TỔNG HỢP KẾT QUẢ ĐÁNH GIÁ GIÁO DỤC CỦA LỚP",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_1,1,"1. Phần tiêu đềĐiền đủ thông tin vào chỗ chấm, trong đó đối với mẫu 1, 4 và 7 cần ghi thời điểm đánh giá giữa học kỳ I hay giữa học kỳ II.",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_2,2,"2. Phần “Môn học và hoạt động giáo dục”- Đối với mẫu 1 và 4: Trong cột tương ứng với từng môn học hoặc hoạt động giáo dục: ghi ký hiệu T nếu học sinh đạt mức ""Hoàn thành tốt"", H nếu học sinh đạt mức ""Hoàn thành"" hoặc C nếu học sinh ở mức ""Chưa hoàn thành"".
- Đối với các mẫu còn lại:
+) Trong cột “Mức đạt được” tương ứng với từng môn học hoặc hoạt động giáo dục: ghi ký hiệu T nếu học sinh đạt mức ""Hoàn thành tốt"", H nếu học sinh đạt mức ""Hoàn thành"" hoặc C nếu học sinh ở mức ""Chưa hoàn thành"".
+) Trong cột ""Điểm KTĐK"" đối với các môn có bài kiểm tra định kỳ: ghi điểm số của bài kiểm tra; đối với học sinh được kiểm tra lại, ghi điểm số của bài kiểm tra lần cuối.",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_3,3,"3. Phần “Phẩm chất chủ yếu” và “Năng lực cốt lõi”Trong cột tương ứng với từng phẩm chất chủ yếu, năng lực cốt lõi (năng lực chung và năng lực đặc thù): ghi ký hiệu T nếu học sinh đạt mức ""Tốt"", Đ nếu học sinh đạt mức ""Đạt"" hoặc C nếu học sinh ở mức ""Cần cố gắng"".",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_4,4,"4. Phần “Đánh giá kết quả giáo dục”, “Khen thưởng”, “Chưa được lên lớp” (trong mẫu 3, 6 và 9)Đánh dấu ""X"" vào các ô tương ứng với mức đạt được về đánh giá kết quả giáo dục của từng học sinh và đối với mỗi học sinh được khen thưởng, chưa được lên lớp.",Khoan
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_5,5,5. Phần “Ghi chú”Ghi những lưu ý đặc biệt (nếu có). Chẳng hạn như: học sinh thuộc diện ưu tiên; học sinh khuyết tật;...,Khoan
